"vendor","part_number","surface_index","radius_mm","thickness_mm","glass_name","glass_catalog","conic","aspheric_coeffs_json","clear_aperture_mm","surface_type","is_stop"
"EdmundOptics","16-704","1",,"0",,,,,"0.55","Standard","1"
"EdmundOptics","16-704","2","0.8942236457506574","0.7076387984315","D-ZLAF52LA_M",,"-0.1569832024129","[{""order"":3,""value"":-0.1204282158016},{""order"":4,""value"":-0.1890172646003},{""order"":5,""value"":-0.2196993858182}]","0.55","EvenAsphere","0"
"EdmundOptics","16-704","3","-6.170143155679536","0.6965057781312",,,,"[{""order"":3,""value"":-0.1308396275498},{""order"":4,""value"":0.2408467831118},{""order"":5,""value"":-0.3136918556253}]","0.55","EvenAsphere","0"
"EdmundOptics","16-704","4",,"0",,,,,"0.007259518286747202","Standard","0"
"EdmundOptics","17-082","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-082","1","14.728","7.5","L-BAL35","OHARA","0","[{""order"":2,""value"":3.416666E-05},{""order"":3,""value"":-6.438044E-09},{""order"":4,""value"":2.323731E-11},{""order"":5,""value"":-3.519619E-14}]","11.25","EVENASPH","1"
"EdmundOptics","17-082","2",,"20.28010470840127",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-082","3",,"0",,,,,"0.00575116611575055","STANDARD","0"
"EdmundOptics","17-156","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-156","1","14.728","7.5","L-BAL35","OHARA","0","[{""order"":2,""value"":3.416666E-05},{""order"":3,""value"":-6.438044E-09},{""order"":4,""value"":2.323731E-11},{""order"":5,""value"":-3.519619E-14}]","11.25","EVENASPH","1"
"EdmundOptics","17-156","2",,"20.28010470840127",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-156","3",,"0",,,,,"0.00575116611575055","STANDARD","0"
"EdmundOptics","17-321","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-321","1","5.156","9.5","C79-80","CORNING_FS","0","[{""order"":2,""value"":5.205427E-06},{""order"":3,""value"":-9.064991E-07},{""order"":4,""value"":-9.846282E-09},{""order"":5,""value"":-1.759E-09},{""order"":6,""value"":3.22629E-11},{""order"":7,""value"":-9.698785E-13}]","6.249999999977218","EVENASPH","1"
"EdmundOptics","17-321","2","-25.218999999999998","4.0574190059812505",,,,,"4.256922385267288","STANDARD","0"
"EdmundOptics","17-321","3",,"0",,,,,"9.298752588549064E-05","STANDARD","0"
"EdmundOptics","17-321","4",,"0",,,,,"9.298752588549064E-05","STANDARD","0"
"EdmundOptics","17-325","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-325","1","12.312","12","C79-80","CORNING_FS","0","[{""order"":2,""value"":1.878008E-05},{""order"":3,""value"":3.222988E-08},{""order"":4,""value"":4.693204E-11},{""order"":5,""value"":7.688675E-14}]","11.25","EVENASPH","1"
"EdmundOptics","17-325","2",,"18.603899592619687",,,,,"11.25","STANDARD","0"
"EdmundOptics","17-325","3",,"0",,,,,"0.012571357316982557","STANDARD","0"
"EdmundOptics","17-328","0",,,,,,,"0","STANDARD","0"
"EdmundOptics","17-328","1","23.805000000000003","7.2","C79-80","CORNING_FS","0","[{""order"":2,""value"":8.650042E-07},{""order"":3,""value"":2.870604E-10}]","11.25","EVENASPH","1"
"EdmundOptics","17-328","2",,"46.8254212311696",,,,,"11.25","STANDARD","0"
